season,player_900_plus_mins,team,possession,total_stdev,overall_rank,minutes_played,xg,penalties_taken,non_pkxg,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,shooting_impact,goal_conversion_pct,goal_threat_stdev,goal_threat_rank,offensive_duels_per_90,offensive_duels_won_pct,offensive_duel_impact,touches_in_box_per_90,key_passes_per_90,passes_to_penalty_area_per_90,accurate_passes_to_penalty_area_pct,penalty_box_passes_impact,xa_per_90,link_play_stdev,link_play_rank
2022.0,A. Martínez,Hartford Athletic,48.3,9.366786253,0.918,1197.0,5.43,1.0,4.69,0.727,0.957,0.546,0.762,0.748,0.993,5.897686616,0.954,0.557,0.904,0.879,0.574,0.131,0.759,0.266,0.61,0.17,1.282864668,0.688
2022.0,R. Dally,Hartford Athletic,48.3,1.788726443,0.635,1116.0,4.67,0.0,4.67,0.801,0.447,0.348,0.809,0.691,0.401,0.8237471938,0.582,0.784,0.184,0.379,0.482,0.805,0.748,0.507,0.723,0.78,2.031973278,0.755
2022.0,J. Obregón,Hartford Athletic,48.3,-7.21968967,0.117,1299.0,6.11,0.0,6.11,0.887,0.695,0.78,0.149,0.316,0.436,1.145089955,0.635,0.766,0.479,0.649,0.408,0.018,0.074,0.004,0.0,0.089,-5.214696594,0.028
2022.0,M. Iloski,Orange County SC,47.95,9.979679769,0.933,2772.0,10.14,0.0,10.14,0.656,0.996,0.989,0.706,0.972,0.752,5.65169896,0.943,0.436,0.894,0.848,0.316,0.489,0.837,0.44,0.762,0.567,0.9885420024,0.667
2022.0,E. Torres,Orange County SC,47.95,-2.850896484,0.348,2235.0,10.32,3.0,8.1,0.638,0.546,0.706,0.475,0.617,0.557,0.9340275108,0.606,0.727,0.344,0.525,0.589,0.461,0.241,0.546,0.312,0.348,-1.211676197,0.404
2022.0,S. Okoli,Orange County SC,47.95,-6.566292364,0.17,1617.0,4.45,1.0,3.71,0.312,0.415,0.411,0.532,0.496,0.486,-0.9447425588,0.372,0.582,0.401,0.482,0.163,0.078,0.376,0.106,0.16,0.248,-4.32347604,0.071
2025.0,J. Rodriguez,Las Vegas Lights,47.75,-7.04221459,0.128,2720.0,6.31,1.0,5.57,0.238,0.479,0.443,0.738,0.663,0.532,-0.4578520969,0.436,0.23,0.691,0.489,0.145,0.06,0.287,0.401,0.259,0.089,-4.50205346,0.064
2025.0,N. Pickering,Las Vegas Lights,47.75,-10.58268046,0.032,896.0,2.02,0.0,2.02,0.305,0.571,0.475,0.294,0.351,0.532,-0.8221207348,0.387,0.071,0.206,0.06,0.046,0.06,0.209,0.043,0.067,0.0,-6.142102278,0.004
2025.0,S. Stojanovic,Las Vegas Lights,47.75,-12.74586108,0.007,1307.0,2.54,0.0,2.54,0.181,0.167,0.167,0.34,0.206,0.209,-3.353099807,0.167,0.046,0.106,0.028,0.121,0.28,0.074,0.968,0.394,0.089,-3.729343485,0.103
2024.0,J. Agudelo,San Antonio,47.59,-2.94962286,0.34,2396.0,9.15,2.0,7.67,0.539,0.479,0.309,0.078,0.11,0.624,-0.8950932119,0.376,0.929,0.131,0.415,0.844,0.33,0.351,0.348,0.291,0.348,-0.9809425414,0.433
2024.0,L. Solignac,San Antonio,47.59,-5.482976689,0.255,1453.0,4.99,2.0,3.51,0.348,0.461,0.309,0.394,0.355,0.819,-0.204352451,0.468,0.206,0.518,0.344,0.152,0.216,0.174,0.546,0.238,0.17,-3.447086133,0.138
2024.0,K. Lacey,San Antonio,47.59,-6.902609485,0.135,949.0,1.46,0.0,1.46,0.103,0.0,0.465,0.422,0.422,0.0,-5.316899657,0.064,0.83,0.617,0.762,0.5,0.433,0.667,0.309,0.55,0.411,-1.725059404,0.351
2024.0,J. LaCava,San Antonio,47.59,-7.540320517,0.106,1285.0,1.93,0.0,1.93,0.092,0.06,0.128,0.025,0.025,0.071,-5.979633172,0.043,0.167,0.755,0.475,0.117,0.433,0.468,0.805,0.663,0.089,-2.615329591,0.241
2024.0,M. Chol,San Antonio,47.59,-8.95966008,0.067,1303.0,1.51,0.0,1.51,0.043,0.167,0.057,0.138,0.071,0.337,-4.314628049,0.103,0.475,0.418,0.443,0.113,0.113,0.5,0.72,0.652,0.0,-4.074307385,0.085
2022.0,C. Jennings,Las Vegas Lights,47.35,4.410804018,0.745,2285.0,8.22,1.0,7.48,0.55,0.73,0.713,0.294,0.482,0.631,1.026294827,0.621,0.681,0.66,0.723,0.309,0.461,0.493,0.819,0.702,0.567,-0.5064436151,0.5
2022.0,D. Iskenderian,Las Vegas Lights,47.35,-4.868097672,0.284,1305.0,1.76,0.0,1.76,0.074,0.06,0.273,0.018,0.021,0.06,-6.246574195,0.032,0.564,0.592,0.617,0.046,0.0,0.635,0.106,0.316,0.567,-3.773814766,0.099
2022.0,C. Torres,Las Vegas Lights,47.35,-8.565946263,0.078,908.0,0.68,0.0,0.68,0.025,0.131,0.046,0.979,0.305,0.337,-3.745118602,0.145,0.11,0.557,0.262,0.028,0.078,0.255,0.004,0.025,0.043,-6.031012922,0.007
