season,player,team,position,minutes_played,overall_percentile,total_stdev,goal_threat_percentile,link_play_percentile,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,offensive_duels_won_pct,touches_in_box_per_90,key_passes_per_90,xa_per_90
2025.0,E. Amoh,Indy Eleven,ST,1233.0,0.404,-1.41438667,0.77,0.266,0.858,0.713,0.557,0.699,0.394,0.592,0.461,0.248
2025.0,I. Paul,Monterey Bay FC,ST,1459.0,0.401,-1.452915247,0.223,0.709,0.28,0.301,0.113,0.028,0.677,0.961,0.638,0.805
2025.0,M. Arteaga,Tampa Bay Rowdies,ST,2281.0,0.39,-1.847136734,0.564,0.475,0.734,0.631,0.713,0.202,0.372,0.528,0.433,0.248
2025.0,A. Søjberg,Monterey Bay FC,ST,1529.0,0.387,-1.934009469,0.45,0.677,0.333,0.447,0.436,0.72,0.993,0.039,0.844,0.652
2025.0,F. Bonfiglio,Miami,ST,2772.0,0.365,-2.25735537,0.823,0.156,0.77,0.812,0.798,0.617,0.486,0.472,0.33,0.17
2025.0,R. Bidois,Loudoun United,ST,1230.0,0.362,-2.316597791,0.752,0.543,0.571,0.73,0.344,0.922,0.071,0.926,0.638,0.411
2025.0,E. Conway,North Carolina FC,ST,1601.0,0.358,-2.480088874,0.855,0.245,0.667,0.918,0.621,0.511,0.472,0.691,0.312,0.043
2025.0,L. Jamieson,Sacramento Republic,ST,928.0,0.344,-2.872040465,0.543,0.66,0.532,0.546,0.606,0.645,0.44,0.443,0.06,0.652
2025.0,M. Dieng,Hartford Athletic,ST,1649.0,0.312,-4.185213235,0.745,0.128,0.89,0.518,0.539,0.67,0.585,0.248,0.411,0.17
2025.0,A. Dikwa,Rhode Island,ST,1942.0,0.305,-4.385543917,0.504,0.344,0.535,0.415,0.188,0.901,0.649,0.734,0.638,0.411
2025.0,G. Hurst,New Mexico United,ST,1930.0,0.301,-4.463588417,0.574,0.333,0.511,0.73,0.411,0.238,0.89,0.206,0.55,0.248
2025.0,W. Pacius,Tampa Bay Rowdies,ST,2601.0,0.287,-4.770223713,0.723,0.195,0.294,0.887,0.465,0.422,0.149,0.124,0.351,0.248
2025.0,B. Jacquesson,Pittsburgh Riverhounds,ST,1015.0,0.273,-5.026476334,0.121,0.489,0.273,0.103,0.762,0.103,0.362,0.358,0.592,0.411
2025.0,S. Herrera,Sacramento Republic,ST,1561.0,0.248,-5.52900053,0.603,0.227,0.929,0.546,0.309,0.174,0.27,0.344,0.33,0.493
2025.0,J. Sinisterra,Oakland Roots,ST,1092.0,0.238,-5.675795672,0.128,0.429,0.035,0.082,0.064,0.422,0.298,0.103,0.55,0.652
2025.0,R. Williams,Indy Eleven,ST,1339.0,0.23,-5.83101634,0.55,0.397,0.447,0.791,0.496,0.131,0.092,0.365,0.241,0.745
2025.0,C. Rutz,Detroit City,ST,879.0,0.223,-5.955054174,0.479,0.17,0.082,0.326,0.018,0.993,0.681,0.074,0.504,0.089
2025.0,T. Trager,Orange County SC,ST,866.0,0.209,-6.118746704,0.266,0.355,0.387,0.362,0.411,0.174,0.585,0.496,0.504,0.089
2025.0,E. Zubak,Orange County SC,ST,2558.0,0.206,-6.164002175,0.656,0.216,0.589,0.461,0.188,0.631,0.181,0.16,0.365,0.248
2025.0,A. Obalola,Hartford Athletic,ST,1022.0,0.177,-6.494540226,0.234,0.145,0.053,0.259,0.021,0.316,0.624,0.085,0.191,0.043
2025.0,C. Burke,Lexington,ST,1274.0,0.163,-6.646382784,0.837,0.014,0.713,0.812,0.511,0.809,0.004,0.514,0.018,0.043
2025.0,Cory Burke,Lexington,ST,1274.0,0.163,-6.646382784,0.837,0.014,0.713,0.812,0.511,0.809,0.004,0.514,0.018,0.043
2025.0,Z. Ryan,Loudoun United,ST,1581.0,0.142,-6.861020105,0.596,0.387,0.514,0.532,0.259,0.911,0.057,0.479,0.433,0.348
2025.0,R. Cabral,Phoenix Rising,ST,1241.0,0.138,-6.898269804,0.759,0.28,0.922,0.387,0.638,0.706,0.294,0.401,0.461,0.089
2025.0,J. Rodriguez,Las Vegas Lights,ST,2720.0,0.128,-7.04221459,0.436,0.064,0.238,0.479,0.443,0.738,0.691,0.145,0.06,0.089
2025.0,R. Damus,Birmingham Legion,ST,2826.0,0.089,-8.296260075,0.649,0.035,0.596,0.631,0.291,0.638,0.216,0.305,0.216,0.17
2025.0,F. Ajago,Lexington,ST,1632.0,0.085,-8.511181973,0.716,0.025,0.777,0.652,0.23,0.699,0.663,0.482,0.011,0.089
2025.0,D. Smith,Detroit City,ST,2556.0,0.071,-8.711625638,0.691,0.287,0.277,0.695,0.092,0.957,0.206,0.273,0.433,0.348
2025.0,J. LaCava,San Antonio,ST,1123.0,0.06,-9.349714629,0.071,0.184,0.301,0.082,0.113,0.039,0.897,0.191,0.16,0.089
2025.0,A. Williams,Pittsburgh Riverhounds,ST,3037.0,0.057,-9.354429524,0.348,0.057,0.472,0.259,0.539,0.291,0.074,0.379,0.043,0.17
2025.0,J. Servania,North Carolina FC,ST,1491.0,0.05,-9.558864187,0.191,0.117,0.007,0.142,0.004,0.943,0.975,0.0,0.089,0.043
2025.0,D. Formella,Phoenix Rising,ST,1215.0,0.035,-10.14996011,0.018,0.571,0.046,0.06,0.078,0.007,0.319,0.199,0.489,0.652
2025.0,N. Pickering,Las Vegas Lights,ST,896.0,0.032,-10.58268046,0.387,0.004,0.305,0.571,0.475,0.294,0.206,0.046,0.06,0.0
2025.0,E. Kizza,Indy Eleven,ST,1217.0,0.028,-11.05655511,0.337,0.323,0.489,0.387,0.188,0.238,0.053,0.5,0.131,0.0
2025.0,J. Agudelo,San Antonio,ST,1106.0,0.025,-11.17732464,0.089,0.316,0.145,0.082,0.05,0.489,0.078,0.291,0.351,0.493
2025.0,J. Tejada,Colorado Springs,ST,2159.0,0.014,-11.74329464,0.206,0.011,0.135,0.227,0.071,0.422,0.429,0.096,0.096,0.0
2025.0,S. Stojanovic,Las Vegas Lights,ST,1307.0,0.007,-12.74586108,0.167,0.103,0.181,0.167,0.167,0.34,0.106,0.121,0.28,0.089
2025.0,P. Burner,North Carolina FC,ST,1768.0,0.0,-14.78424154,0.007,0.199,0.018,0.0,0.028,0.011,0.504,0.014,0.241,0.089
